Channel;SVM-Lin;SVM-RBF;kNN-3;kNN-5;NB;LDA
AF3;0.621;0.621;0.647;0.660;0.675;0.696
AF3+AF4;0.544;0.415;0.440;0.473;0.537;0.614
AF3+Pz;0.950;0.919;0.921;0.919;0.928;0.919
AF3+Pz+AF4;0.596;0.408;0.587;0.579;0.532;0.533
AF3+Pz+T8;0.776;0.773;0.770;0.784;0.777;0.585
AF3+Pz+T8+AF4;0.578;0.408;0.610;0.596;0.540;0.565
AF3+T7;0.915;0.897;0.895;0.896;0.904;0.874
AF3+T7+AF4;0.573;0.441;0.593;0.590;0.545;0.559
AF3+T7+Pz;0.812;0.787;0.782;0.787;0.801;0.636
AF3+T7+Pz+AF4;0.656;0.459;0.636;0.609;0.602;0.654
AF3+T7+Pz+T8;0.769;0.716;0.706;0.713;0.742;0.707
AF3+T7+Pz+T8+AF4;0.450;0.260;0.439;0.453;0.438;0.534
AF3+T7+T8;0.788;0.774;0.767;0.778;0.799;0.625
AF3+T7+T8+AF4;0.562;0.436;0.599;0.558;0.527;0.577
AF3+T8;0.929;0.915;0.907;0.908;0.917;0.866
AF3+T8+AF4;0.549;0.450;0.607;0.590;0.532;0.527
AF4;0.538;0.548;0.628;0.632;0.642;0.693
Pz;0.674;0.564;0.693;0.693;0.710;0.728
Pz+AF4;0.934;0.918;0.918;0.923;0.930;0.885
Pz+T8;0.787;0.533;0.676;0.661;0.721;0.767
Pz+T8+AF4;0.815;0.794;0.781;0.788;0.803;0.634
T7;0.645;0.590;0.663;0.661;0.671;0.711
T7+AF4;0.922;0.902;0.898;0.901;0.914;0.848
T7+Pz;0.831;0.640;0.724;0.737;0.764;0.850
T7+Pz+AF4;0.803;0.779;0.764;0.771;0.781;0.619
T7+Pz+T8;0.633;0.439;0.593;0.597;0.615;0.548
T7+Pz+T8+AF4;0.750;0.708;0.689;0.695;0.707;0.636
T7+T8;0.663;0.454;0.604;0.607;0.667;0.691
T7+T8+AF4;0.790;0.776;0.760;0.775;0.779;0.642
T8;0.681;0.584;0.696;0.719;0.719;0.736
T8+AF4;0.925;0.916;0.908;0.917;0.924;0.854
