;SVM_Linear;SVM_RBF;kNN_3;kNN_5;NB;LDA
S01;60;74;60;68;72;74
S02;100;90;92;90;98;100
S03;54;52;74;72;76;70
S04;88;86;88;88;80;88
S05;74;74;70;70;74;70
S06;70;66;56;70;68;72
S07;88;86;88;82;86;78
S08;74;74;76;76;78;68
S09;100;100;100;100;100;100
S10;84;68;70;76;78;80
S11;68;74;68;74;66;78
S12;94;96;94;96;96;92
S13;98;96;94;96;98;100
S14;82;76;72;80;78;80
S15;80;82;76;74;82;86
S16;62;72;74;82;64;80
S17;68;56;60;62;62;72
S18;94;92;88;94;94;94
S19;54;54;56;52;58;68
S20;78;78;80;78;80;66
S21;84;84;78;80;84;82
S22;92;86;82;86;90;88
S23;60;58;66;62;60;62
S24;68;58;64;62;72;72
S25;100;98;92;90;98;100
S26;92;86;92;92;94;90
S27;80;74;80;76;88;94
