subject;channel1;channel2;channel3;channel4;channel5;average
S01;0,48;0,36;0,48;0,58;0,56;0,492
S02;0,52;0,46;0,62;0,6;0,52;0,544
S03;0,5;0,56;0,5;0,5;0,52;0,516
S04;0,58;0,14;0,64;0,28;0,5;0,428
S05;0,56;0,72;0,36;0,48;0,76;0,576
S06;0,42;0,56;0,62;0,6;0,52;0,544
S07;0,32;0,54;0,64;0,54;0,54;0,516
S08;0,46;0,42;0,66;0,7;0,42;0,532
S09;0,38;0,24;0;0,1;0,48;0,24
S10;0,52;0,54;0,6;0,54;0,5;0,54
S11;0,72;0,38;0,52;0,56;0,5;0,536
S12;0,6;0,42;0,76;0,48;0,6;0,572
S13;0,64;0,48;0,5;0,36;0,52;0,5
S14;0,44;0,56;0,5;0,46;0,44;0,48
S15;0,52;0,5;0,52;0,38;0,52;0,488
S16;0,5;0,46;0,56;0,5;0,5;0,504
S17;0,6;0,62;0,58;0,4;0,52;0,544
S18;0,46;0,52;0,62;0,52;0,64;0,552
S19;0,4;0,64;0,5;0,6;0,6;0,548
S20;0,52;0,54;0,66;0,48;0,46;0,532
S21;0,64;0,5;0,62;0,6;0,46;0,564
S22;0,54;0,34;0,68;0,5;0,42;0,496
S23;0,56;0,42;0,58;0,5;0,48;0,508
S24;0,36;0,38;0,5;0,52;0,46;0,444
S25;0,64;0,44;0,64;0,54;0,5;0,552
S26;0,42;0,34;0,18;0,74;0,46;0,428
S27;0,5;0,44;0,38;0,48;0,42;0,444
average;0,511111111;0,463703704;0,534074074;0,501481481;0,511851852;0,504444444
