Subject,LOOCV Accuracy (%),LOOCV Channel,10-Fold Accuracy (%),10-Fold Channel
S1,74.0,EEG.T7,74.0,EEG.T7
S2,100.0,EEG.T7,100.0,EEG.T7
S3,70.0,EEG.T8,72.0,EEG.T8
S4,88.0,EEG.T7,88.0,EEG.T7
S5,70.0,EEG.T7,64.0,EEG.AF4
S6,72.0,EEG.Pz,70.0,EEG.T8
S7,78.0,EEG.T7,78.0,EEG.T7
S8,68.0,EEG.AF3,70.0,EEG.AF3
S9,100.0,EEG.T7,100.0,EEG.T7
S10,80.0,EEG.AF4,78.0,EEG.Pz
S11,78.0,EEG.AF4,76.0,EEG.T8
S12,92.0,EEG.Pz,94.0,EEG.T7
S13,100.0,EEG.T8,100.0,EEG.T8
S14,80.0,EEG.T7,86.0,EEG.T7
S15,86.0,EEG.AF4,84.0,EEG.AF4
S16,80.0,EEG.AF4,76.0,EEG.AF4
S17,72.0,EEG.Pz,78.0,EEG.Pz
S18,94.0,EEG.T8,92.0,EEG.T8
S19,68.0,EEG.AF4,66.0,EEG.AF3
S20,66.0,EEG.T7,66.0,EEG.T7
S21,82.0,EEG.T8,84.0,EEG.T8
S22,88.0,EEG.Pz,88.0,EEG.Pz
S23,62.0,EEG.Pz,58.0,EEG.Pz
S24,72.0,EEG.T7,72.0,EEG.T7
S25,100.0,EEG.Pz,100.0,EEG.Pz
S26,90.0,EEG.T8,90.0,EEG.T8
S27,94.0,EEG.T8,88.0,EEG.AF3
