,LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),LOOCV Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%),10-Fold Cross-Validation Accuracy (%)
C,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
S1,59.2,66.4,62.8,62.8,62.0,63.6,62.8,67.6,64.8,64.4,62.0,65.6
S2,95.6,93.2,82.4,86.0,97.6,98.8,96.4,94.0,84.4,87.2,98.0,98.4
S3,57.6,54.8,53.6,58.8,61.2,60.4,61.6,57.6,56.4,57.2,62.4,59.2
S4,87.6,86.4,86.0,85.6,85.6,85.2,87.2,87.6,86.0,86.0,85.2,85.6
S5,52.4,56.8,57.2,55.6,58.8,52.4,54.4,55.2,53.2,54.4,55.2,53.6
S6,58.8,54.0,49.6,52.8,54.8,56.8,58.0,56.0,51.2,56.0,52.8,57.6
S7,74.4,77.6,66.8,71.2,78.8,74.4,72.8,78.4,67.6,72.4,78.0,77.2
S8,55.6,53.6,52.8,49.6,57.6,50.8,55.2,55.2,55.6,53.6,58.8,54.0
S9,94.0,96.4,91.2,91.2,94.0,96.0,94.4,97.2,91.6,91.6,93.6,94.8
S10,70.4,76.4,68.4,69.2,76.8,74.0,70.8,77.2,69.2,70.4,76.0,71.6
S11,72.8,76.4,71.2,72.8,76.4,72.0,75.6,78.0,73.6,71.6,77.2,74.4
S12,75.2,74.8,72.8,75.2,70.8,79.6,76.0,76.4,74.4,75.2,74.0,79.2
S13,90.0,89.2,82.0,82.4,90.8,92.8,90.4,90.4,84.0,82.4,92.0,92.4
S14,63.2,68.0,61.2,65.6,69.2,64.4,64.8,69.6,62.4,64.4,70.4,64.4
S15,68.0,60.4,54.4,52.8,59.2,70.4,65.6,60.8,56.8,55.2,58.4,68.0
S16,72.0,72.0,67.2,72.0,70.8,70.4,72.4,72.8,69.2,69.2,72.8,71.2
S17,63.6,52.8,54.0,54.0,60.8,59.6,66.4,56.0,56.0,56.4,60.0,59.6
S18,80.4,84.8,79.6,80.0,85.6,82.4,82.8,85.6,80.8,81.2,86.4,82.4
S19,59.2,52.8,57.6,55.6,54.0,58.8,61.6,61.2,55.6,56.4,56.4,60.8
S20,58.8,64.0,61.2,62.0,63.6,57.6,57.6,66.4,60.8,62.4,64.0,58.4
S21,68.8,66.4,60.4,62.4,72.8,66.4,66.8,68.0,62.8,65.2,70.8,68.0
S22,79.2,82.8,78.4,78.8,82.8,82.0,77.2,84.0,76.8,77.6,82.8,78.8
S23,56.0,58.4,53.6,56.0,64.0,54.4,58.0,60.0,54.4,55.6,64.4,54.4
S24,61.6,65.6,62.8,64.0,68.0,62.4,66.0,67.2,64.4,64.8,69.2,64.4
S25,94.4,94.0,89.2,88.8,97.6,96.4,94.0,94.0,87.2,87.6,96.4,96.4
S26,74.8,81.6,77.2,79.6,78.4,77.2,76.0,82.4,78.8,78.4,79.2,78.8
S27,70.4,81.6,72.4,72.8,79.2,74.4,73.2,80.8,70.8,74.8,80.4,73.6
Mean,70.89,71.9,67.63,68.8,73.01,71.61,71.78,73.32,68.47,69.32,73.21,71.96
SD,12.87,13.87,12.23,12.35,13.09,14.01,12.44,13.22,11.99,11.8,13.19,13.44
